price,area,mainroad,guestroom,basement,hotwaterheating,airconditioning,prefarea,furnishingstatus_semi-furnished,furnishingstatus_unfurnished,bathrooms_2,bathrooms_3,bathrooms_4,stories_2,stories_3,stories_4,parking_1,parking_2,parking_3,bedrooms_2,bedrooms_3,bedrooms_4,bedrooms_5,bedrooms_6
8080940,7000,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
8043000,7482,1,0,0,1,0,1,0,0,1,0,0,0,1,0,1,0,0,0,1,0,0,0
7980000,9000,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
7962500,6000,1,1,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0
7910000,6000,1,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
7875000,6550,1,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
7840000,6360,1,0,0,0,1,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
7700000,6480,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0
7700000,6000,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0
7560000,6000,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
7560000,6000,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
7525000,6000,1,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
7490000,6600,1,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0
7455000,4300,1,0,1,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,1,0,0,0
7420000,7440,1,1,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
7420000,7440,1,0,0,0,0,1,0,1,1,0,0,0,0,1,1,0,0,0,1,0,0,0
7420000,6325,1,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,1,0,0,0
7350000,6000,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
7350000,5150,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0
7350000,6000,1,1,0,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
7350000,6000,1,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
7343000,11440,1,0,1,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
7245000,9000,1,1,0,0,1,1,0,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
7210000,7680,1,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
7210000,6000,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
7140000,6000,1,1,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
7070000,8880,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
7070000,6240,1,0,0,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
7035000,6360,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0
7000000,11175,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
6930000,8880,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
6930000,13200,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
6895000,7700,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,0,0,1,0,0,0
6860000,6000,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
6790000,12090,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
6790000,4000,1,0,1,0,1,1,1,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
6755000,6000,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0
6720000,5020,1,0,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
6685000,6600,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0
6650000,4040,1,0,1,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
6650000,4260,1,0,0,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
6650000,6420,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
6650000,6500,1,0,0,0,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
6650000,5700,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
6650000,6000,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
6629000,6000,1,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
6615000,4000,1,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
6615000,10500,1,0,1,0,1,1,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0
6580000,6000,1,0,0,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
6510000,3760,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
6510000,8250,1,0,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
6510000,6670,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
6475000,3960,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
6475000,7410,1,1,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
6440000,8580,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,1,0
6440000,5000,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
6419000,6750,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
6405000,4800,1,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0
6300000,7200,1,0,1,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
6300000,6000,1,0,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,1,0,0
6300000,4100,1,0,0,0,1,0,1,0,1,0,0,0,1,0,0,1,0,0,1,0,0,0
6300000,9000,1,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
6300000,6400,1,1,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
6293000,6600,1,0,0,0,1,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
6265000,6000,1,1,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
6230000,6600,1,0,1,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
6230000,5500,1,0,0,0,0,1,0,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0
6195000,5500,1,1,0,0,1,0,1,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
6195000,6350,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0
6195000,5500,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
6160000,4500,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0
6160000,5450,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
6125000,6420,1,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
6107500,3240,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
6090000,6615,1,1,0,1,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
6090000,6600,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
6090000,8372,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0
6083000,4300,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1
6083000,9620,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
6020000,6800,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
6020000,8000,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
6020000,6900,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
5950000,3700,1,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
5950000,6420,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5950000,7020,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
5950000,6540,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
5950000,7231,1,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
5950000,6254,1,0,1,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0
5950000,7320,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
5950000,6525,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0
5943000,15600,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
5880000,7160,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
5880000,6500,1,0,0,0,1,0,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0,0
5873000,5500,1,1,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
5873000,11460,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0
5866000,4800,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5810000,5828,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
5810000,5200,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
5810000,4800,1,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
5803000,7000,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
5775000,6000,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
5740000,5400,1,0,0,0,1,0,0,1,1,0,0,1,0,0,0,1,0,0,0,1,0,0
5740000,4640,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
5740000,5000,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
5740000,6360,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
5740000,5800,1,0,0,0,1,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0
5652500,6660,1,1,1,0,0,1,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
5600000,10500,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
5600000,4800,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,1,0
5600000,4700,1,1,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
5600000,5000,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
5600000,10500,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
5600000,5500,1,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
5600000,6360,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
5600000,6600,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5600000,5136,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
5565000,4400,1,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
5565000,5400,1,1,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
5530000,3300,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0
5530000,3650,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
5530000,6100,1,0,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
5523000,6900,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5495000,2817,0,1,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
5495000,7980,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
5460000,3150,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
5460000,6210,1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
5460000,6100,1,1,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
5460000,6600,1,1,1,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
5425000,6825,1,1,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5390000,6710,1,1,1,0,0,1,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
5383000,6450,1,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0
5320000,7800,1,0,1,0,1,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
5285000,4600,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
5250000,4260,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
5250000,6540,0,0,0,0,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
5250000,5500,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
5250000,10269,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
5250000,8400,1,1,1,0,1,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
5250000,5300,1,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5250000,3800,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,0,1,0,0,0
5250000,9800,1,1,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
5250000,8520,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
5243000,6050,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5229000,7085,1,1,1,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
5215000,3180,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
5215000,4500,0,0,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
5215000,7200,1,1,1,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
5145000,3410,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
5145000,7980,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
5110000,3000,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0
5110000,3000,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
5110000,11410,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
5110000,6100,1,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5075000,5720,1,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0
5040000,3540,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5040000,7600,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
5040000,10700,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
5040000,6600,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
5033000,4800,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
5005000,8150,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0
4970000,4410,1,0,1,0,0,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0
4970000,7686,1,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4956000,2800,0,0,1,0,1,0,1,0,1,0,0,1,0,0,1,0,0,0,1,0,0,0
4935000,5948,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4907000,4200,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
4900000,4520,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4900000,4095,0,1,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4900000,4120,1,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
4900000,5400,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0
4900000,4770,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4900000,6300,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
4900000,5800,1,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4900000,3000,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4900000,2970,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
4900000,6720,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4900000,4646,1,1,1,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
4900000,12900,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
4893000,3420,1,0,1,0,1,0,1,0,1,0,0,1,0,0,0,1,0,0,0,1,0,0
4893000,4995,1,0,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0
4865000,4350,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4830000,4160,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0
4830000,6040,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
4830000,6862,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
4830000,4815,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4795000,7000,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4795000,8100,1,0,1,0,1,0,1,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0
4767000,3420,1,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
4760000,9166,1,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
4760000,6321,1,0,1,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
4760000,10240,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0
4753000,6440,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
4690000,5170,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0
4690000,6000,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
4690000,3630,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
4690000,9667,1,1,1,0,0,0,1,0,1,0,0,1,0,0,1,0,0,0,0,1,0,0
4690000,5400,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
4690000,4320,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4655000,3745,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4620000,4160,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4620000,3880,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,1,0,0,1,0,0,0
4620000,5680,1,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
4620000,2870,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
4620000,5010,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4613000,4510,1,0,1,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
4585000,4000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
4585000,3840,1,0,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
4550000,3760,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
4550000,3640,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4550000,2550,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4550000,5320,1,1,1,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4550000,5360,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,0,1,0,0,0
4550000,3520,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4550000,8400,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,0,0
4543000,4100,1,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
4543000,4990,1,1,1,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0
4515000,3510,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0
4515000,3450,1,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
4515000,9860,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4515000,3520,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
4480000,4510,1,0,0,0,1,0,1,0,0,0,0,1,0,0,0,1,0,0,0,1,0,0
4480000,5885,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0
4480000,4000,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,1,0,0,0
4480000,8250,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
4480000,4040,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
4473000,6360,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0
4473000,3162,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
4473000,3510,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4445000,3750,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4410000,3968,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4410000,4900,1,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
4403000,2880,1,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
4403000,4880,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0
4403000,4920,1,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
